kwartal;rok;wartosc
2;2023;6134
1;2023;5668
4;2022;5708
3;2022;5295
2;2022;5020
1;2022;5252
4;2021;5134
3;2021;5347
2;2021;5112
1;2021;4944
4;2020;5012
3;2020;4987
2;2020;5000
1;2020;4567
4;2019;4597
3;2019;4376
2;2019;4484
1;2019;4388
4;2018;4139
3;2018;4385
2;2018;4294
1;2018;4132
4;2017;4145
3;2017;4097
2;2017;4014
1;2017;4424
4;2016;4000
3;2016;3976
2;2016;4063
1;2016;4177
4;2015;3925
3;2015;3961
2;2015;4066
1;2015;3926
4;2014;3984
3;2014;3880
2;2014;4141
1;2014;4129
4;2013;4228
3;2013;3975
2;2013;3879
1;2013;4019
4;2012;3837
3;2012;3915
2;2012;4103
1;2012;4130
